id,pub_date,title,office_name,project_address,parse_status,lat,lon,geocode_status,egris_egrid,nummer,flaechenmass
35157c97-cf74-4af1-9ced-ce4a9dd4dbd7,2026-06-03,"Bauprojekt: Brunnackerstrasse 3/5 und Oberlandstrasse 111/113, Assek. Nrn. 5134, 5135, Uster",Stadt Uster - GF Hochbau,"5 und Oberlandstrasse 111, Uster, 8610, Switzerland",ok,,,failed,,,
35157c97-cf74-4af1-9ced-ce4a9dd4dbd7,2026-06-03,"Bauprojekt: Brunnackerstrasse 3/5 und Oberlandstrasse 111/113, Assek. Nrn. 5134, 5135, Uster",Stadt Uster - GF Hochbau,"5 und Oberlandstrasse 113, Uster, 8610, Switzerland",ok,,,failed,,,
8299f7c0-72a0-48ea-b6a8-cb17b2578aba,2026-05-06,"Bauprojekt: Zürichstrasse 1, Assek. Nr. 1821, Uster",Stadt Uster - GF Hochbau,"Zürichstrasse 1, Uster, 8610, Switzerland",ok,,,failed,,,
b7867d14-f732-427b-a613-775b08cf9dd1,2026-05-06,"Bauprojekt: Vordergasse 34, Assek. Nr. 5164, Uster",Stadt Uster - GF Hochbau,"Vordergasse 34, Uster, 8610, Switzerland",ok,,,failed,,,
ed4eb1a2-6233-49f4-9d54-95b867246413,2026-05-06,"Bauprojekt: Pfäffikerstrasse 30, Assek. Nr. 4335, Uster",Stadt Uster - GF Hochbau,"Pfäffikerstrasse 30, Uster, 8610, Switzerland",ok,,,failed,,,
851de8f6-a47e-4fc4-b366-65a2c0874b3b,2026-04-29,"Bauprojekt: Vorderer Höhenweg 8, Uster",Stadt Uster - GF Hochbau,"Vorderer Höhenweg 8, Uster, 8610, Switzerland",ok,,,failed,,,
072cb885-9fa2-4e10-9043-22e667cdd3d1,2026-04-15,"Bauprojekt: Schwerzistrasse, Uster",Stadt Uster - GF Hochbau,"Schwerzistrasse, Uster, 8610, Switzerland",ok,,,failed,,,
61e34ae4-bb87-48a7-bbb9-b8d3a449a06c,2026-04-01,"Bauprojekt: Grabenstrasse 1, bei Assek. Nr. 2561, Uster",Stadt Uster - GF Hochbau,"Grabenstrasse 1, Uster, 8610, Switzerland",ok,,,failed,,,
c1ea1f4c-c833-4b56-87c6-6931c391ce0b,2026-03-25,"Bauprojekt: Fehraltorferstrasse 5, Assek. Nr. 7134, Uster",Stadt Uster - GF Hochbau,"Fehraltorferstrasse 5, Uster, 8610, Switzerland",ok,,,failed,,,
48f6fb16-7673-455d-8dbb-563b4fac73de,2026-03-11,"Bauprojekt: Rehbühlstasse 30, Assek. Nr. 3986, Uster",Stadt Uster - GF Hochbau,"Rehbühlstasse 30, Uster, 8610, Switzerland",ok,,,failed,,,
2813cfb9-bbe6-4e2a-b8b0-a077e8eaa041,2026-03-04,"Bauprojekt: Zürichstrasse 106c, Assek. Nr. 6249, Uster",Stadt Uster - GF Hochbau,"Zürichstrasse 106c, Uster, 8610, Switzerland",ok,,,failed,,,
479ee0de-3664-4df1-8af1-206f48084969,2026-03-04,"Bauprojekt: Zürichstrasse 106a, Assek. Nr. 6247, Uster",Stadt Uster - GF Hochbau,"Zürichstrasse 106a, Uster, 8610, Switzerland",ok,,,failed,,,
388b56c3-0b25-437f-b7f5-ae990441919b,2026-03-04,"Bauprojekt: Zürichstrasse 106b, Assek. Nr. 6248, Uster",Stadt Uster - GF Hochbau,"Zürichstrasse 106b, Uster, 8610, Switzerland",ok,,,failed,,,
